INDX,wave,group,id,keep,obs_filter,dir_const,travel,Block Group,duration,speed,driveduration,stopduration,Telephone,Texting,Smoking,Belt,Pass,Agman,Agpassenger,Agother,total,begin_time1,end_time1,begin_time2,end_time2,begin_time3,end_time3,begin_time4,end_time4,begin_time5,end_time5,begin_time6,end_time6,begin_time7,end_time7,begin_time8,end_time8,begin_time9,end_time9,begin_time10,end_time10,begin_time11,end_time11,begin_time12,end_time12,arrival_time,e1,e2,e3,e4,e5,e6,e7,e8,e9,r1,r2,interviewer,startpoint,endpoint,starttime,endtime,travelcode,distance,direction
42,3rd wave - Anonimous,3rd wave - New or former control,42,1,Keep,Same direction or one trip only,Telavi-Tbilisi,Telavi,136,33.52941132,136,0,1,0,0,2,21,9,0,0,33,10/11/2016 17:00,10/11/2016 17:31,10/11/2016 17:31,10/11/2016 18:00,10/11/2016 18:00,10/11/2016 18:00,10/11/2016 18:30,10/11/2016 19:00,10/11/2016 19:00,10/11/2016 19:16,,,,,,,,,,,,,,,10/11/2016 19:17,0,1,0,0,1,-2,0,0,0,1,1,1832,Telavi,Tbilisi,10/11/2016 17:00,10/11/2016 19:16,TBS-Telavi / Telavi--TBS,76,To Tbilisi
43,3rd wave - Anonimous,3rd wave - Former treatment,43,1,Keep,Same direction or one trip only,Tbilisi-Borjomi,Borjomi,108,81.50943756,106,2,0,1,2,0,0,0,0,0,3,10/13/2016 10:11,10/13/2016 10:41,10/13/2016 10:41,10/13/2016 11:11,10/13/2016 11:11,10/13/2016 11:41,10/13/2016 11:41,10/13/2016 11:59,,,,,,,,,,,,,,,,,10/13/2016 11:59,0,-1,0,0,1,1,0,1,0,4,4,1833,Tbilisi,Borjomi,10/13/2016 10:11,10/13/2016 11:59,TBS-Borjomi / Borjomi--TBS,144,From Tbilisi
44,2nd wave - Non-anonimous,2nd wave - Treatment,44,1,Keep,Different directions,Tbilisi-Zestaponi,Zestaponi,162,85.03936768,127,35,4,0,1,0,24,12,0,0,41,9/27/2016 9:25,9/27/2016 9:55,9/27/2016 9:55,9/27/2016 10:25,9/27/2016 10:25,9/27/2016 10:55,9/27/2016 10:55,9/27/2016 11:25,9/27/2016 11:25,9/27/2016 11:58,9/27/2016 11:58,9/27/2016 12:07,,,,,,,,,,,,,9/27/2016 12:07,1,1,0,1,0,1,0,1,0,2,2,1838,Tbilisi,Zestaponi,9/27/2016 9:25,9/27/2016 12:07,TBS-Zestaponi / Zestaponi--TBS,180,From Tbilisi
45,1st wave - Anonimous,1st wave - Control,45,1,Keep,Same direction or one trip only,Tbilisi-Tibaani,Gurjaani,111,63.52941132,102,9,3,0,0,2,4,9,0,0,18,9/21/2016 10:32,9/21/2016 11:02,9/21/2016 11:02,9/21/2016 11:32,9/21/2016 11:32,9/21/2016 12:02,9/21/2016 12:02,9/21/2016 12:23,,,,,,,,,,,,,,,,,9/21/2016 12:23,1,1,0,0,0,1,0,1,0,4,4,1824,Tbilisi,Tibaani,9/21/2016 10:32,9/21/2016 12:23,TBS-Tibaani / Tibaani--TBS,108,From Tbilisi
46,2nd wave - Non-anonimous,2nd wave - Treatment,46,1,Keep,Same direction or one trip only,Tbilisi-Zestaponi,Zestaponi,157,78.83211517,137,20,0,0,0,0,3,1,0,0,4,9/27/2016 10:30,9/27/2016 11:00,9/27/2016 11:00,9/27/2016 11:30,9/27/2016 11:30,9/27/2016 12:00,9/27/2016 12:00,9/27/2016 12:30,9/27/2016 12:30,9/27/2016 13:00,9/27/2016 13:00,9/27/2016 13:07,,,,,,,,,,,,,9/27/2016 13:07,1,-1,0,0,0,0,0,1,0,4,4,1810,Tbilisi,Zestaponi,9/27/2016 10:30,9/27/2016 13:07,TBS-Zestaponi / Zestaponi--TBS,180,From Tbilisi
47,3rd wave - Anonimous,3rd wave - New or former control,47,1,Keep,Same direction or one trip only,Tbilisi-Zestaponi,Zestaponi,136,79.41176605,136,0,2,0,0,0,5,0,0,0,7,10/12/2016 10:35,10/12/2016 11:05,10/12/2016 11:05,10/12/2016 11:35,10/12/2016 11:35,10/12/2016 12:05,10/12/2016 12:05,10/12/2016 12:35,10/12/2016 12:35,10/12/2016 12:51,,,,,,,,,,,,,,,10/12/2016 12:51,1,-1,0,0,0,1,0,1,0,4,4,1834,Tbilisi,Zestaponi,10/12/2016 10:35,10/12/2016 12:51,TBS-Zestaponi / Zestaponi--TBS,180,From Tbilisi
48,3rd wave - Anonimous,3rd wave - Former treatment,48,1,Keep,Same direction or one trip only,Tbilisi-Lamiskana,Kaspi,46,64.09091187,44,2,0,0,0,2,0,0,0,0,2,10/12/2016 10:13,10/12/2016 10:43,10/12/2016 10:43,10/12/2016 10:59,,,,,,,,,,,,,,,,,,,,,10/12/2016 10:59,1,0,0,1,1,1,0,1,1,4,4,1810,Tbilisi,Lamiskana,10/12/2016 10:13,10/12/2016 10:59,TBS-Lamiskana / Lamiskana--TBS,47,From Tbilisi
49,1st wave - Anonimous,1st wave - Control,49,1,Keep,Different directions,Dzegvi-Tbilisi,Mtskheta,22,48,20,2,0,0,0,0,0,0,0,0,0,9/20/2016 10:41,9/20/2016 11:03,,,,,,,,,,,,,,,,,,,,,,,9/20/2016 11:03,1,1,0,0,0,1,0,1,0,4,3,1832,Dzegvi,Tbilisi,9/20/2016 10:41,9/20/2016 11:03,TBS-Dzegvi / Dzegvi--TBS,16,To Tbilisi
50,3rd wave - Anonimous,3rd wave - New or former control,50,1,Keep,Same direction or one trip only,Tbilisi-Ksani,Ksani,49,32.60869598,46,3,2,0,0,0,1,0,0,0,3,10/13/2016 11:15,10/13/2016 11:45,10/13/2016 11:45,10/13/2016 12:04,,,,,,,,,,,,,,,,,,,,,10/13/2016 12:04,0,1,0,0,0,1,0,1,0,5,5,1841,Tbilisi,Ksani,10/13/2016 11:15,10/13/2016 12:04,TBS-Ksani / Ksani--TBS,25,From Tbilisi
51,3rd wave - Anonimous,3rd wave - New or former control,51,0,Drop,Observation filtered out,Okami-Tbilisi,Kaspi,34,69.375,32,2,0,0,0,0,3,0,0,0,3,10/20/2016 14:11,10/20/2016 14:41,10/20/2016 14:41,10/20/2016 14:45,,,,,,,,,,,,,,,,,,,,,10/20/2016 14:56,0,1,0,0,0,1,0,1,0,5,4,1841,Okami,Tbilisi,10/20/2016 14:11,10/20/2016 14:45,TBS-Okami / Okami--TBS,37,To Tbilisi
52,3rd wave - Anonimous,3rd wave - New or former control,52,1,Keep,Same direction or one trip only,Sachkhere-Tbilisi,Sachkhere,134,72.3664093,131,3,1,0,0,0,3,0,0,0,4,10/12/2016 13:35,10/12/2016 14:05,10/12/2016 14:05,10/12/2016 14:35,10/12/2016 14:35,10/12/2016 15:05,10/12/2016 15:05,10/12/2016 15:35,10/12/2016 15:35,10/12/2016 15:49,,,,,,,,,,,,,,,10/12/2016 16:09,1,1,0,1,0,1,0,1,0,5,4,1837,Sachkhere,Tbilisi,10/12/2016 13:35,10/12/2016 15:49,TBS-Sachkhere / Sachkhere--TBS,158,To Tbilisi
53,1st wave - Anonimous,1st wave - Control,53,0,Drop,Observation filtered out,Terjola-Tbilisi,Zestaponi,137,84.52555084,137,0,6,0,3,0,4,1,0,0,14,9/21/2016 13:07,9/21/2016 13:37,9/21/2016 13:37,9/21/2016 14:07,9/21/2016 14:07,9/21/2016 14:37,9/21/2016 14:37,9/21/2016 15:07,9/21/2016 15:07,9/21/2016 15:24,,,,,,,,,,,,,,,9/21/2016 15:25,1,1,0,0,0,1,0,1,0,4,4,1851,Terjola,Tbilisi,9/21/2016 13:07,9/21/2016 15:24,TBS-Terjola / Terjola--TBS,193,To Tbilisi
54,3rd wave - Anonimous,3rd wave - Former treatment,54,1,Keep,Different directions,Kvareli-Tbilisi,Kvareli,140,53.47826004,138,2,4,0,0,0,4,7,0,0,15,10/12/2016 15:29,10/12/2016 16:00,10/12/2016 16:00,10/12/2016 16:29,10/12/2016 16:29,10/12/2016 16:59,10/12/2016 16:59,10/12/2016 17:30,10/12/2016 17:30,10/12/2016 17:49,,,,,,,,,,,,,,,10/12/2016 17:49,1,0,1,1,1,1,0,1,0,3,3,1853,Kvareli,Tbilisi,10/12/2016 15:29,10/12/2016 17:49,TBS-Kvareli / Kvareli--TBS,123,To Tbilisi
55,2nd wave - Non-anonimous,2nd wave - Treatment,55,1,Keep,Different directions,Tbilisi-Tianeti,Zhinvali,81,45.92592621,81,0,0,0,0,3,0,0,0,0,3,9/27/2016 10:19,9/27/2016 10:49,9/27/2016 10:49,9/27/2016 11:19,9/27/2016 11:19,9/27/2016 11:40,,,,,,,,,,,,,,,,,,,9/27/2016 11:40,1,1,0,1,0,1,0,1,0,5,5,1805,Tbilisi,Tianeti,9/27/2016 10:19,9/27/2016 11:40,TBS-Tianeti / Tianeti--TBS,62,From Tbilisi
56,1st wave - Anonimous,1st wave - Control,56,1,Keep,Same direction or one trip only,Chiatura-Tbilisi,Sachkhere,151,69.86301422,146,5,8,0,0,0,2,5,0,0,15,9/21/2016 11:20,9/21/2016 11:50,9/21/2016 11:50,9/21/2016 12:20,9/21/2016 12:20,9/21/2016 12:50,9/21/2016 12:50,9/21/2016 13:20,9/21/2016 13:20,9/21/2016 13:50,9/21/2016 13:50,9/21/2016 13:51,,,,,,,,,,,,,9/21/2016 13:51,1,1,0,0,0,1,0,1,0,4,4,1818,Chiatura,Tbilisi,9/21/2016 11:20,9/21/2016 13:51,TBS-Chiatura / Chiatura--TBS,170,To Tbilisi
57,3rd wave - Anonimous,3rd wave - New or former control,57,1,Keep,Different directions,Bakuriani-Tbilisi,Bakuriani,170,60.36144638,166,4,2,0,0,0,4,1,0,0,7,10/19/2016 15:20,10/19/2016 15:50,10/19/2016 15:50,10/19/2016 16:20,10/19/2016 16:20,10/19/2016 16:50,10/19/2016 16:50,10/19/2016 17:20,10/19/2016 17:20,10/19/2016 17:50,10/19/2016 17:50,10/19/2016 18:10,,,,,,,,,,,,,10/19/2016 18:24,0,0,0,0,0,0,0,0,0,3,3,1819,Bakuriani,Tbilisi,10/19/2016 15:20,10/19/2016 18:10,TBS-Bakuriani / Bakuriani--TBS,167,To Tbilisi
58,3rd wave - Anonimous,3rd wave - New or former control,58,1,Keep,Same direction or one trip only,Terjola-Tbilisi,Zestaponi,155,77.71812439,149,6,0,0,1,0,5,1,0,0,7,10/12/2016 15:53,10/12/2016 16:23,10/12/2016 16:23,10/12/2016 16:53,10/12/2016 16:53,10/12/2016 17:23,10/12/2016 17:23,10/12/2016 17:53,10/12/2016 17:54,10/12/2016 18:23,10/12/2016 18:23,10/12/2016 18:28,,,,,,,,,,,,,10/12/2016 18:29,1,1,0,0,0,1,0,1,0,3,4,1832,Terjola,Tbilisi,10/12/2016 15:53,10/12/2016 18:28,TBS-Terjola / Terjola--TBS,193,To Tbilisi
59,2nd wave - Non-anonimous,2nd wave - Treatment,59,1,Keep,Same direction or one trip only,Tbilisi-Metekhi,Metekhi,65,39.69230652,65,0,0,0,0,0,0,0,0,0,0,9/29/2016 9:16,9/29/2016 9:46,9/29/2016 9:46,9/29/2016 10:16,9/29/2016 10:16,9/29/2016 10:21,,,,,,,,,,,,,,,,,,,9/29/2016 10:21,1,1,0,0,0,1,0,1,0,4,4,1810,Tbilisi,Metekhi,9/29/2016 9:16,9/29/2016 10:21,TBS-Metekhi / Metekhi--TBS,43,From Tbilisi
60,1st wave - Anonimous,1st wave - Control,60,1,Keep,Same direction or one trip only,Tbilisi-Ksani,Ksani,16,100,15,1,3,0,0,0,2,1,0,0,6,9/20/2016 13:30,9/20/2016 13:46,,,,,,,,,,,,,,,,,,,,,,,9/20/2016 13:47,1,0,1,0,0,1,0,1,0,4,4,1819,Tbilisi,Ksani,9/20/2016 13:30,9/20/2016 13:46,TBS-Ksani / Ksani--TBS,25,From Tbilisi
61,2nd wave - Non-anonimous,2nd wave - Treatment,61,1,Keep,Different directions,Bulachauri-Tbilisi,Zhinvali,41,42.43902588,41,0,0,0,0,0,0,0,0,0,0,9/28/2016 14:35,9/28/2016 15:05,9/28/2016 15:05,9/28/2016 15:16,,,,,,,,,,,,,,,,,,,,,9/28/2016 15:28,1,0,0,0,0,1,0,1,0,4,4,1810,Bulachauri,Tbilisi,9/28/2016 14:35,9/28/2016 15:16,TBS-Bulachauri / Bulachauri--TBS,29,To Tbilisi
62,3rd wave - Anonimous,3rd wave - New or former control,62,1,Keep,Same direction or one trip only,Martvili-Tbilisi,Martvili,292,62.83464432,254,38,4,1,13,0,54,2,0,0,74,10/13/2016 16:40,10/13/2016 17:10,10/13/2016 17:10,10/13/2016 17:40,10/13/2016 17:40,10/13/2016 18:10,10/13/2016 18:10,10/13/2016 18:40,10/13/2016 18:40,10/13/2016 19:10,10/13/2016 19:10,10/13/2016 19:40,10/13/2016 19:40,10/13/2016 20:10,10/13/2016 20:10,10/13/2016 20:40,10/13/2016 20:40,10/13/2016 21:10,10/13/2016 21:10,10/13/2016 21:32,,,,,10/13/2016 21:50,1,0,0,0,0,1,0,1,0,4,4,1836,Martvili,Tbilisi,10/13/2016 16:40,10/13/2016 21:32,TBS-Martvili / Martvili--TBS,266,To Tbilisi
63,2nd wave - Non-anonimous,2nd wave - Treatment,63,1,Keep,Different directions,Kvareli-Tbilisi,Kvareli,147,53.47826004,138,9,2,0,0,0,4,2,3,0,11,9/29/2016 13:03,9/29/2016 13:33,9/29/2016 13:33,9/29/2016 14:03,9/29/2016 14:03,9/29/2016 14:33,9/29/2016 14:33,9/29/2016 15:03,9/29/2016 15:03,9/29/2016 15:30,,,,,,,,,,,,,,,9/29/2016 15:30,1,1,0,0,0,0,1,0,0,3,3,1818,Kvareli,Tbilisi,9/29/2016 13:03,9/29/2016 15:30,TBS-Kvareli / Kvareli--TBS,123,To Tbilisi
64,2nd wave - Non-anonimous,2nd wave - Treatment,64,1,Keep,Same direction or one trip only,Kareli-Tbilisi,Gori,60,90,60,0,0,0,0,0,0,0,0,0,0,9/27/2016 12:03,9/27/2016 12:33,9/27/2016 12:33,9/27/2016 13:03,,,,,,,,,,,,,,,,,,,,,9/27/2016 13:03,1,1,0,0,0,1,-2,1,0,5,5,1841,Kareli,Tbilisi,9/27/2016 12:03,9/27/2016 13:03,TBS-Kareli / Kareli--TBS,90,To Tbilisi
65,2nd wave - Non-anonimous,2nd wave - Treatment,65,1,Keep,Same direction or one trip only,Chiatura-Tbilisi,Sachkhere,157,73.38129425,139,18,0,0,0,0,0,1,0,0,1,9/27/2016 12:54,9/27/2016 13:24,9/27/2016 13:24,9/27/2016 13:54,9/27/2016 13:54,9/27/2016 14:24,9/27/2016 14:24,9/27/2016 14:54,9/27/2016 14:54,9/27/2016 15:24,9/27/2016 15:24,9/27/2016 15:31,,,,,,,,,,,,,9/27/2016 15:31,1,1,0,0,0,1,0,1,0,4,5,1837,Chiatura,Tbilisi,9/27/2016 12:54,9/27/2016 15:31,TBS-Chiatura / Chiatura--TBS,170,To Tbilisi
66,2nd wave - Non-anonimous,2nd wave - Treatment,66,1,Keep,Same direction or one trip only,Tbilisi-Khashuri,Khashuri,80,88.83116913,77,3,0,0,0,0,0,0,0,0,0,9/28/2016 11:04,9/28/2016 11:34,9/28/2016 11:34,9/28/2016 12:04,9/28/2016 12:04,9/28/2016 12:24,,,,,,,,,,,,,,,,,,,9/28/2016 12:24,1,1,0,0,0,1,0,1,0,5,5,1839,Tbilisi,Khashuri,9/28/2016 11:04,9/28/2016 12:24,TBS-Khashuri / Khashuri--TBS,114,From Tbilisi
67,3rd wave - Anonimous,3rd wave - Former treatment,67,1,Keep,Same direction or one trip only,Tbilisi-Mejvriskhevi,Gori,74,69.42857361,70,4,0,0,0,1,0,0,0,0,1,10/12/2016 10:55,10/12/2016 11:25,10/12/2016 11:25,10/12/2016 11:55,10/12/2016 11:55,10/12/2016 12:09,,,,,,,,,,,,,,,,,,,10/12/2016 12:09,0,1,0,0,1,1,0,1,0,4,4,1819,Tbilisi,Mejvriskhevi,10/12/2016 10:55,10/12/2016 12:09,TBS-Mejvriskhevi / Mejvriskhevi--TBS,81,From Tbilisi
68,2nd wave - Non-anonimous,2nd wave - Treatment,68,1,Keep,Same direction or one trip only,Tbilisi-Khashuri,Khashuri,83,84.44444275,81,2,0,0,0,0,2,0,0,0,2,9/28/2016 10:13,9/28/2016 10:43,9/28/2016 10:43,9/28/2016 11:13,9/28/2016 11:13,9/28/2016 11:36,,,,,,,,,,,,,,,,,,,9/28/2016 11:36,1,1,0,0,1,1,0,1,0,5,4,1824,Tbilisi,Khashuri,9/28/2016 10:13,9/28/2016 11:36,TBS-Khashuri / Khashuri--TBS,114,From Tbilisi
69,3rd wave - Anonimous,3rd wave - New or former control,69,1,Keep,Same direction or one trip only,Tbilisi-Sachkhere,Sachkhere,120,94.80000305,100,20,7,0,3,0,2,0,0,0,12,10/13/2016 12:20,10/13/2016 12:50,10/13/2016 12:50,10/13/2016 13:20,10/13/2016 13:20,10/13/2016 13:50,10/13/2016 13:50,10/13/2016 14:20,,,,,,,,,,,,,,,,,10/13/2016 14:25,1,-1,0,0,0,1,0,1,0,4,4,1839,Tbilisi,Sachkhere,10/13/2016 12:20,10/13/2016 14:20,TBS-Sachkhere / Sachkhere--TBS,158,From Tbilisi
70,3rd wave - Anonimous,3rd wave - Former treatment,64,1,Keep,Same direction or one trip only,Kareli-Tbilisi,Gori,76,71.05263519,76,0,0,0,0,3,0,0,0,0,3,10/12/2016 12:06,10/12/2016 12:36,10/12/2016 12:36,10/12/2016 13:08,10/12/2016 13:08,10/12/2016 13:22,,,,,,,,,,,,,,,,,,,10/12/2016 13:22,1,0,0,0,0,1,-2,0,0,4,4,1805,Kareli,Tbilisi,10/12/2016 12:06,10/12/2016 13:22,TBS-Kareli / Kareli--TBS,90,To Tbilisi
71,3rd wave - Anonimous,3rd wave - New or former control,51,1,Keep,Same direction or one trip only,Tbilisi-Okami,Gori,40,56.92307663,39,1,0,0,0,0,3,0,0,0,3,10/20/2016 12:15,10/20/2016 12:45,10/20/2016 12:45,10/20/2016 12:55,,,,,,,,,,,,,,,,,,,,,10/20/2016 12:55,0,1,0,0,0,1,0,1,0,5,4,1841,Tbilisi,Okami,10/20/2016 12:15,10/20/2016 12:55,TBS-Okami / Okami--TBS,37,From Tbilisi
72,2nd wave - Non-anonimous,2nd wave - Treatment,72,1,Keep,Different directions,Kutaisi-Tbilisi,Kutaisi,208,69.8360672,183,25,3,0,0,0,1,0,0,0,4,9/27/2016 16:00,9/27/2016 16:30,9/27/2016 16:30,9/27/2016 17:02,9/27/2016 17:02,9/27/2016 17:31,9/27/2016 17:31,9/27/2016 18:00,9/27/2016 18:00,9/27/2016 18:29,9/27/2016 18:30,9/27/2016 19:00,9/27/2016 19:00,9/27/2016 19:28,,,,,,,,,,,9/27/2016 19:28,1,1,1,1,0,1,0,1,0,5,5,1835,Kutaisi,Tbilisi,9/27/2016 16:00,9/27/2016 19:28,TBS-Kutaisi / Kutaisi--TBS,213,To Tbilisi
73,3rd wave - Anonimous,3rd wave - Former treatment,73,0,Drop,Observation filtered out,Chiatura-Tbilisi,Sachkhere,138,74.4525528,137,1,0,0,5,0,26,8,2,0,41,10/12/2016 15:45,10/12/2016 16:15,10/12/2016 16:15,10/12/2016 16:45,10/12/2016 16:45,10/12/2016 17:15,10/12/2016 17:15,10/12/2016 17:45,10/12/2016 17:45,10/12/2016 18:03,,,,,,,,,,,,,,,10/12/2016 18:14,1,1,0,0,0,1,0,1,0,2,2,1841,Chiatura,Tbilisi,10/12/2016 15:45,10/12/2016 18:03,TBS-Chiatura / Chiatura--TBS,170,To Tbilisi
74,3rd wave - Anonimous,3rd wave - New or former control,74,1,Keep,Same direction or one trip only,Ozurgeti-Tbilisi,Samtredia,305,62.06896591,290,15,3,0,9,0,7,0,0,0,19,10/13/2016 19:00,10/13/2016 19:30,10/13/2016 19:30,10/13/2016 20:00,10/13/2016 20:00,10/13/2016 20:30,10/13/2016 20:30,10/13/2016 21:00,10/13/2016 21:00,10/13/2016 21:30,10/13/2016 21:30,10/13/2016 22:00,10/13/2016 22:00,10/13/2016 22:30,10/13/2016 22:30,10/13/2016 23:00,10/13/2016 23:00,10/13/2016 23:30,10/13/2016 23:30,10/13/2016 0:00,10/14/2016 0:00,10/14/2016 0:05,,,10/14/2016 0:15,1,1,0,0,0,1,0,1,0,4,5,1837,Ozurgeti,Tbilisi,10/13/2016 19:00,10/14/2016 0:05,TBS-Ozurgeti / Ozurgeti--TBS,300,To Tbilisi
75,1st wave - Anonimous,1st wave - Control,75,1,Keep,Same direction or one trip only,Tbilisi-Shrosha,Zestaponi,127,82.88135529,118,9,1,0,3,0,7,17,0,0,28,9/20/2016 10:16,9/20/2016 10:46,9/20/2016 10:46,9/20/2016 11:16,9/20/2016 11:16,9/20/2016 11:46,9/20/2016 11:46,9/20/2016 12:16,9/20/2016 12:16,9/20/2016 12:23,,,,,,,,,,,,,,,9/20/2016 12:23,1,1,0,0,0,1,0,1,0,5,5,1849,Tbilisi,Shrosha,9/20/2016 10:16,9/20/2016 12:23,TBS-Shrosha / Shrosha--TBS,163,From Tbilisi
76,1st wave - Anonimous,1st wave - Control,76,1,Keep,Same direction or one trip only,Tbilisi-Lagodekhi,Lagodekhi,124,70.67796326,118,6,0,0,3,0,16,13,0,0,32,9/21/2016 9:54,9/21/2016 10:24,9/21/2016 10:24,9/21/2016 10:54,9/21/2016 10:54,9/21/2016 11:24,9/21/2016 11:24,9/21/2016 11:54,9/21/2016 11:54,9/21/2016 11:58,,,,,,,,,,,,,,,9/21/2016 11:58,1,1,0,0,0,0,0,0,0,4,3,1849,Tbilisi,Lagodekhi,9/21/2016 9:54,9/21/2016 11:58,TBS-Lagodekhi / Lagodekhi--TBS,139,From Tbilisi
77,1st wave - Anonimous,1st wave - Control,77,1,Keep,Same direction or one trip only,Tbilisi-Tamarasheni,Gori,75,79.19999695,75,0,0,0,1,1,0,0,0,0,2,9/20/2016 13:42,9/20/2016 14:12,9/20/2016 14:12,9/20/2016 14:42,9/20/2016 14:42,9/20/2016 14:57,,,,,,,,,,,,,,,,,,,9/20/2016 14:58,1,1,0,0,0,1,0,1,0,5,5,1837,Tbilisi,Tamarasheni,9/20/2016 13:42,9/20/2016 14:57,TBS-Tamarasheni / Tamarasheni--TBS,99,From Tbilisi
78,2nd wave - Non-anonimous,2nd wave - Treatment,78,1,Keep,Same direction or one trip only,Gori-Tbilisi,Gori,44,95.45454407,44,0,0,0,0,0,0,1,0,1,2,9/28/2016 12:28,9/28/2016 12:59,9/28/2016 12:59,9/28/2016 13:12,,,,,,,,,,,,,,,,,,,,,9/28/2016 13:12,0,1,0,0,1,1,0,1,0,4,3,1841,Gori,Tbilisi,9/28/2016 12:28,9/28/2016 13:12,TBS-Gori / Gori--TBS,70,To Tbilisi
79,3rd wave - Anonimous,3rd wave - New or former control,79,1,Keep,Same direction or one trip only,Tbilisi-Saguramo,Saguramo,16,52.5,16,0,1,0,0,0,0,0,0,0,1,10/18/2016 9:13,10/18/2016 9:29,,,,,,,,,,,,,,,,,,,,,,,10/18/2016 9:29,1,-1,1,0,0,1,0,1,0,5,5,1828,Tbilisi,Saguramo,10/18/2016 9:13,10/18/2016 9:29,TBS-Saguramo / Saguramo--TBS,14,From Tbilisi
80,2nd wave - Non-anonimous,2nd wave - Treatment,80,1,Keep,Same direction or one trip only,Zestaponi-Tbilisi,Zestaponi,180,66.66666412,162,18,3,0,0,0,2,0,0,0,5,9/29/2016 14:04,9/29/2016 14:34,9/29/2016 14:34,9/29/2016 15:04,9/29/2016 15:04,9/29/2016 15:34,9/29/2016 15:34,9/29/2016 16:04,9/29/2016 16:04,9/29/2016 16:34,9/29/2016 16:34,9/29/2016 17:04,,,,,,,,,,,,,9/29/2016 17:16,1,1,0,0,0,1,0,1,0,5,5,1819,Zestaponi,Tbilisi,9/29/2016 14:04,9/29/2016 17:04,TBS-Zestaponi / Zestaponi--TBS,180,To Tbilisi
81,2nd wave - Non-anonimous,2nd wave - Treatment,81,1,Keep,Same direction or one trip only,Tbilisi-Abastumani,Akhaltsikhe,154,92.11267853,142,12,0,0,0,0,1,0,0,0,1,9/27/2016 10:00,9/27/2016 10:30,9/27/2016 10:30,9/27/2016 11:00,9/27/2016 11:00,9/27/2016 11:32,9/27/2016 11:32,9/27/2016 12:00,9/27/2016 12:00,9/27/2016 12:30,9/27/2016 12:30,9/27/2016 12:34,,,,,,,,,,,,,9/27/2016 12:43,1,1,0,0,0,1,0,1,0,5,5,1839,Tbilisi,Abastumani,9/27/2016 10:00,9/27/2016 12:34,TBS-Abastumani / Abastumani--TBS,218,From Tbilisi
82,3rd wave - Anonimous,3rd wave - New or former control,82,1,Keep,Same direction or one trip only,Tbilisi-Borjomi,Borjomi,108,85.54455566,101,7,1,0,2,0,2,0,0,0,5,10/18/2016 12:00,10/18/2016 12:30,10/18/2016 12:30,10/18/2016 13:00,10/18/2016 13:00,10/18/2016 13:29,10/18/2016 13:30,10/18/2016 13:48,,,,,,,,,,,,,,,,,10/18/2016 13:48,1,1,0,0,0,1,0,1,0,5,5,1839,Tbilisi,Borjomi,10/18/2016 12:00,10/18/2016 13:48,TBS-Borjomi / Borjomi--TBS,144,From Tbilisi
83,2nd wave - Non-anonimous,2nd wave - Treatment,67,1,Keep,Same direction or one trip only,Tbilisi-Mejvriskhevi,Gori,73,68.45070648,71,2,0,0,0,0,0,0,0,0,0,9/28/2016 10:45,9/28/2016 11:15,9/28/2016 11:15,9/28/2016 11:45,9/28/2016 11:45,9/28/2016 11:58,,,,,,,,,,,,,,,,,,,9/28/2016 11:58,1,1,0,0,0,1,0,1,0,5,5,1828,Tbilisi,Mejvriskhevi,9/28/2016 10:45,9/28/2016 11:58,TBS-Mejvriskhevi / Mejvriskhevi--TBS,81,From Tbilisi
84,3rd wave - Anonimous,3rd wave - New or former control,84,1,Keep,Same direction or one trip only,Khashuri-Tbilisi,Khashuri,85,82.40963745,83,2,0,0,0,0,0,0,0,0,0,10/11/2016 13:10,10/11/2016 13:40,10/11/2016 13:40,10/11/2016 14:10,10/11/2016 14:10,10/11/2016 14:35,,,,,,,,,,,,,,,,,,,10/11/2016 14:35,1,-1,0,0,0,1,0,1,0,4,4,1838,Khashuri,Tbilisi,10/11/2016 13:10,10/11/2016 14:35,TBS-Khashuri / Khashuri--TBS,114,To Tbilisi
85,3rd wave - Anonimous,3rd wave - New or former control,85,1,Keep,Different directions,Akhmeta-Tbilisi,Telavi,179,33.10344696,174,5,3,0,1,0,3,1,0,0,8,10/18/2016 14:30,10/18/2016 15:00,10/18/2016 15:00,10/18/2016 15:30,10/18/2016 15:30,10/18/2016 16:00,10/18/2016 16:00,10/18/2016 16:30,10/18/2016 16:30,10/18/2016 17:00,10/18/2016 17:00,10/18/2016 17:29,,,,,,,,,,,,,10/18/2016 17:30,1,1,0,0,0,1,0,1,0,4,4,1818,Akhmeta,Tbilisi,10/18/2016 14:30,10/18/2016 17:29,TBS-Akhmeta / Akhmeta--TBS,96,To Tbilisi
86,3rd wave - Anonimous,3rd wave - New or former control,13,1,Keep,Same direction or one trip only,Tbilisi-Choporti,Saguramo,35,49.7142868,35,0,1,0,0,0,1,0,0,0,2,10/13/2016 11:04,10/13/2016 11:34,10/13/2016 11:34,10/13/2016 11:39,,,,,,,,,,,,,,,,,,,,,10/13/2016 11:39,1,1,0,0,0,1,0,1,0,5,5,1842,Tbilisi,Choporti,10/13/2016 11:04,10/13/2016 11:39,TBS-Choporti / Choporti--TBS,29,From Tbilisi
